S.NO,IMAGES,PARTICULARS,PCS RATE,GRAM,IMAGE ADRESS
60,,ASTRO COOKIES AND CREAM ,27,36g,https://cdn.mafrservices.com/pim-content/UAE/media/product/2121697/1748772003/2121697_main.jpg
61,,NUTELLA BISCUIT POUCH ,780,276g,"https://m.media-amazon.com/images/I/71O+0LxwkJL._AC_UF894,1000_QL80_.jpg"
,,CHOCOLATES,,,
67,,FORTUNA T8 HEART ,220,80g,CAMERA PIC
68,,FORTUNA T12 HEART ,300,120g,https://dealayo.com/media/catalog/product/f/o/fortuna-chocolate-16s-heart-golden-1_1.jpg?width=265&height=265&store=default&image-type=image
69,,FORTUNA T5 PANDA ,160,50g,https://cdn.sybazzar.com/public/840-840/files/C0AC92182A81E55-vtt.jpg
70,,FORTUNA T5 RABBIT ,210,50g,https://image.made-in-china.com/2f0j00RtgkiLsURPca/T5-Crushed-Peanut-Wafer-Bll-Chocolate-in-Rabbit-Mould.webp
71,,FORTUNA T12 RECTANGLE ,300,120g,CAMERA PIC
72,,KAT KAT TAT,40,20g,https://m.media-amazon.com/images/I/81ZmamJKFvL.jpg
62,,FERRERO ROCHER T16,1499,200g,https://delhidutyfree.co.in/media/catalog/product/cache/c3073cf0652b87af145d4aff9d92466d/1/5/1501066.jpg
,,BISCUITS,,,
73,,SUGAR FREE CHOCOLATE BISCUIT ,245,190g,CAMERA PIC
74,,SUGAR FREE LEMON BISCUIT ,245,190g,CAMERA PIC
75,,SUGAR FREE ORANGE BISCUIT ,245,190g,CAMERA PIC
,,CHOCOLATES,,,
76,,BOUNTY BAR,101,57g,https://5.imimg.com/data5/RM/LR/GB/GLADMIN-6335932/bounty-chocolate-500x500.jpg
77,,KALFANY ASSORTED FRUIT DROPS,490,150g,https://www.kalfany.de/sites/default/files/content/produkte/3d_ky-150g_assorted-fruit_300dpi.png
78,,KALFANY CITRUS FRUIT DROPS ,490,150g,"https://m.media-amazon.com/images/I/61Xv+4FkBlL.jpg_BO30,255,255,255_UF900,850_SR1910,1000,0,C_QL100_.jpg"
79,,KALFANY STRAWBERRY DROPS ,490,150g,https://www.kalfany.de/sites/default/files/content/produkte/3d_ky-150g_strawberry_300dpi.png
80,,KALFANY FRUIT SELECTION DROPS,490,150g,https://www.kalfany.de/sites/default/files/content/produkte/3d_ky-150g_fruit-selection.png
81,,KALFANY CHERRY DROPS,490,150g,https://www.heinemann-shop.com/medias/300Wx300H-null?context=bWFzdGVyfGltYWdlc3wyOTkwNXxpbWFnZS9qcGVnfGFHTTFMMmcxWmk4eE1qYzFOemN3TWpZd05qZzNPQzh6TURCWGVETXdNRWhmYm5Wc2JBfGUxMjdjYzU2YWIyZjNiMTlhZGNjNTdlNGQ1YWRkMWViZDYzNDE1MDU4NTFmYmI0OWIyNWIxNjMyZjc2NzYwN2E&v=1758227507859
82,,KALFANY COFFEE DROPS,490,150g,https://www.heinemann-shop.com/medias/527Wx527H-null?context=bWFzdGVyfGltYWdlc3w1NDIzN3xpbWFnZS9qcGVnfGFEQTFMMmd6TkM4eE1ESTFOREl6TlRreU5qVTFPQzgxTWpkWGVEVXlOMGhmYm5Wc2JBfGFiNmMyNTg1ZmY1OGQ1YjcxNWE2OTRmNzhlNzIyMTY2ODc4ZTkxODFkNzA1NjZkNTBjNDE1YzZjYWNhZTFkMTA&v=1706134884041
83,,MARSHZONE MARSHMALLOW FRIES,150,,https://americanfizz.co.uk/media/catalog/product/cache/207e23213cf636ccdef205098cf3c8a3/w/h/whatsapp_image_2025-08-01_at_14.36.59_e856a486.jpg
85,,COCON PUDDING,230,480g,https://cdn.grofers.com/da/cms-assets/cms/product/6a43871d-5de6-4bc6-881d-b2e455395453.jpg
86,,TWIN BURGER,25,14g,https://dealzdxb.com/wp-content/uploads/2025/03/250g-2025-03-23T183111.636.png
87,,GUMMI PIZZA,28,14g,https://www.bbassets.com/media/uploads/p/l/40123507_1-yupi-gummi-pizza.jpg
88,,GUMMI PIZZA PACKET,220,96g,https://images-cdn.ubuy.co.in/6351b64ff6b13c56236ccbe5-yupi-brand-jelly-gummi-pizza-64g-x-2.jpg
89,,KINDER CARDS 76G,500,76g,https://cococart.in/cdn/shop/files/1CH1819.png?v=1685097555
90,,KINDER CARDS 256 G,1099,256g,https://m.media-amazon.com/images/I/61xf7XxFKfL.jpg
91,,KINDER CHOCOLATE ,25,14g,https://m.media-amazon.com/images/I/61WsguXrxML.jpg
92,,KINDER CREAMY,30,19g,https://www.bbassets.com/media/uploads/p/l/40200865_3-kinder-creamy-milky-cocoa-chocolate-with-extruded-rice.jpg
93,,HERSHEY'S EXTRA CREAMY,500,50g,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=1080/da/cms-assets/cms/product/1821e88d-7dd4-4ea8-a5f7-04232fbf52e4.png"
94,,HERSHEY'S SPECIAL DARK,500,50g,https://m.media-amazon.com/images/I/71A8nY+KDFL.jpg
95,,DAIRY MILK WHOLENUT,2000,300g,https://sa.adanione.com/-/media/Foundation/Adani/Dutyfree/ProductImages/Confectionery/Chocolates/Cadbury/05A03099/1_cadbury_cdm_wholenutwtrtablet300flowwraprightglobal.jpg
96,,DAIRY MILK TRIPPLE CHOCOLATE ,2000,300g,https://www.bigbasket.com/media/uploads/p/s/40264865_1-cadbury-dairy-milk-triple-chocolate-creamy-rich-flavour.jpg
97,,DAIRY MILK CHOCOLATE ,2000,300g,"https://images.shop.frankfurt-airport.com/pim/defaults/1340x,jpeg/catalog/2/c/0/b/2c0bb3cd186702a0e7ac06b4a6436d6b_1087377_1.jpg"
,,SAFRON,,,
98,,SAFRON 1G,499,1g,CAMERA PIC
99,,SAFRON 4G,1599,4g,CAMERA PIC
100,,SAFRON CLASSIC 1G,499,1g,CAMERA PIC
101,,SAFRON CLASSIC 2G,699,2g,CAMERA PIC
,,CHOCOLATES,,,
102,,KINDER JOY ,50,20g,https://www.kinder.com/in/sites/kinder_in/files/2023-09/kj-4.png?t=1756481636
103,,FERRERO ROCHER T3,250,37g,https://rukminim2.flixcart.com/image/480/480/xif0q/chocolate/c/s/g/37-5-t3-chocolates-imported-37-5gms-1-ferrero-rocher-original-imaggmurdhhzhben.jpeg?q=90
104,,DUBAI CHOCOLATE PACKET ,1500,200g,CAMERA PIC
105,,TOBLERONE MILK CHOCOLATE WITH HONEY AND ALMOND,89,35g,https://cdn.mafrservices.com/pim-content/UAE/media/product/5526/1755749403/5526_main.jpg?im=Resize=400
106,,TOBLERONE WHITE CHOCOLATE WITH HONEY AND ALMOND,325,100g,"https://m.media-amazon.com/images/I/41oAL5prKeL._AC_UF350,350_QL80_.jpg"
107,,TOBLERONE MILK CHOCOLATE WITH HONEY AND ALMOND,325,100g,https://upload.wikimedia.org/wikipedia/commons/c/cc/Toblerone_3362.jpg
108,,TOBLERONE MILK CHOCOLATE WITH HONEY AND ALMOND & SALTED CARAMELIZED ALMOND ,325,100g,https://cococart.in/cdn/shop/files/1CH0402.jpg?v=1711957093
109,,TOBLERONE MILK CHOCOLATE WITH RAISINS & HONEY AND ALMOND,325,100g,TOBLERONE MILK CHOCOLATE WITH RAISINS & HONEY AND ALMOND
110,,TOBLERONE MILK CHOCOLATE WITH HONEY AND ALMOND PACKET,1099,200g,https://rukminim2.flixcart.com/image/480/480/xif0q/chocolate/w/t/k/200-milk-chocolate-with-honey-and-almond-nougat-1-toblerone-original-imahfy852huhegam.jpeg?q=90
111,,DAIM CHOCOLATE PACKET ,780,200g,"https://m.media-amazon.com/images/I/51NdHJ+HOUL._AC_UF350,350_QL80_.jpg"
,,NUTS  ,,,
112,,BEST CASTAWAY CASHEWS,60,13g,https://cdn.mafrservices.com/pim-content/UAE/media/product/98409/1749529203/98409_main.jpg
113,,COSMIC CLASIC MIX,60,20g,https://z.nooncdn.com/products/tr:n-t_400/v1641202128/N27682083A_1.jpg
114,,POPIN PISTACHIO,60,13g,https://ebaqala.com/6955-large_default/best_popin_pistachio_13gm.jpg
,,CHIPS,,,
115,,TIFFANY FINNS SALT AND VINEGAR,200,85g,CAMERA PIC
116,,TIFFANY FINNS LOUISIANA CHILLI ,200,85g,CAMERA PIC
,,BISCUITS,,,
117,,OMAN DATE BAR ,35,21g,https://superdokan.com/cdn/shop/files/85deb5e3a7cbea86a4b7da77f335ca83.webp?v=1730294712
118,,MAAMOUL OMAN DATE BISCUIT ,25,20g,https://kuwait.grandhyper.com/image/cache/catalog/products/1/9501025224316-1000x1000.jpeg
119,,MAAMOUL SAUDIA DATE BISCUIT ,25,19g,https://cdn.mafrservices.com/sys-master-root/h69/heb/49644794150942/982246_main.jpg
,,CHOCOLATES,,,
120,,JEWELS GALAXY CHOCOLATE BOX ,1499,383g,"https://images-eu.ssl-images-amazon.com/images/I/81vW4WuwydL._AC_UL600_SR600,600_.jpg"
121,,CHOCO TIDO ,20,18g,https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2033/35459/2033_35459_34890_8493.png/fit-in/500x500
122,,SAFARI,30,22g,https://gulfmarket.in/admin8891450001/uploadimg/17065202072116IMG_20240129_144422.jpg
123,,MARSHZONE MARSHMALLOW SPORTS ,160,,CAMERA PIC
124,,HERSHEY'S COOKIES AND CREAM ,110,40g,"https://m.media-amazon.com/images/I/61GlLbaW2SL._AC_UF894,1000_QL80_.jpg"
125,,TRUFFE SELECTION CHOCOLATES BOX,150,250g,CAMERA PIC
126,,BREAK CHOCOLATE ,60,25g,https://cdn.mafrservices.com/sys-master-root/h75/h28/61922655862814/403072_main.jpg
127,,NANI PISTACHIO NOUGAT & CARAMEL CHOCOLATE BAR ,59,40g,https://export.shirinasal.com/Content/Images/Products/plog5199.png
128,,NANI ALMOND CARAMEL AND NOUGAT CHOCOLATE BAR,59,40g,https://export.shirinasal.com/Content/Images/Products/plog5384.png
129,,HISS CRISPY WAFER,25,21g,https://cdn.shopify.com/s/files/1/0567/3808/7091/products/hiss-chocolate01-18781-681819-170821031841.jpg?v=1678443268
130,,FOXS FRUITY MINTS ,160,90g,https://m.media-amazon.com/images/I/81HIwzI3noL.jpg
131,,FOXS FRUITS ,160,90g,"https://m.media-amazon.com/images/I/81hV1n7LJtL._AC_UF894,1000_QL80_.jpg"
132,,FOXS BERRIES ,160,90g,https://m.media-amazon.com/images/I/61bbOdn3OHL.jpg
133,,FOXS MINTS ,160,90g,https://m.media-amazon.com/images/I/81S416nVyiL.jpg
134,,FOXS FRUITS TIN,280,180g,https://m.media-amazon.com/images/I/51ut4zwuy0L.jpg
135,,FOXS FRUITY MINTS TIN,280,180g,"https://m.media-amazon.com/images/I/51Auj8C6lPL._AC_UF894,1000_QL80_.jpg"
136,,FOXS BERRIES TIN,280,180g,"https://m.media-amazon.com/images/I/61aRTde1G4L._AC_UF350,350_QL50_.jpg"
139,,TIC TAC ORANGE ,10,7.2g,https://www.bbassets.com/media/uploads/p/xl/268978_7-tic-tac-orange-flavoured.jpg
140,,TIC TAC MINT,10,7.2g,https://www.bbassets.com/media/uploads/p/l/40124695_6-tic-tac-candy-mint.jpg
,,BISCUITS,,,
141,,BISCOFF BISCUIT ,699,250g,https://www.just-food.com/wp-content/uploads/sites/28/2024/06/shutterstock_2445503485-e1718272184430.jpg
142,,COFFEE JOY BISCUIT ,59,37g,https://5.imimg.com/data5/ANDROID/Default/2023/6/320252506/YI/NZ/HJ/46851918/product-jpeg.jpg
199,,TIFFANY GLUCOSE MILK AND HONEY BISCUITS ,50,40G,https://cdn.mafrservices.com/pim-content/UAE/media/product/5671/1748782804/5671_main.jpg
,,CHOCOLATES,,,
143,,MEIJI HELLO PANDA CHOCOLATE BISCUIT ,99,22g,https://cdn.mafrservices.com/pim-content/UAE/media/product/2178899/1748602804/2178899_main.jpg
144,,MEIJI HELLO PANDA STRAWBERRY BISCUIT ,99,42g,https://snackstar.in/cdn/shop/files/Untitled_design_30_5_1200x1200.png?v=1755761924
145,,MEIJI MINI HELLO PANDA CHOCOLATE BISCUIT ,49,21g,https://m.media-amazon.com/images/I/811ObRnJLoL._AC_SL1500_.jpg
